

Hyper-Parameters: 
 - n_estimators..................: 970
 - random_state..................: 2017
 - verbose.......................: 1
 - max_features..................: 0.95
 - learning_rate.................: 0.006
 - max_depth.....................: 2
 - min_samples_leaf..............: 3
      Iter       Train Loss   Remaining Time 
         1           0.0937           18.87s
         2           0.0929           18.72s
         3           0.0923           18.64s
         4           0.0918           18.53s
         5           0.0912           18.58s
         6           0.0908           18.54s
         7           0.0904           18.48s
         8           0.0901           18.43s
         9           0.0897           18.45s
        10           0.0894           18.43s
        20           0.0873           18.17s
        30           0.0857           18.03s
        40           0.0846           17.80s
        50           0.0838           17.62s
        60           0.0830           17.41s
        70           0.0823           17.20s
        80           0.0817           17.00s
        90           0.0811           16.79s
       100           0.0805           16.63s
       200           0.0769           14.84s
       300           0.0702           12.96s
       400           0.0610           11.13s
       500           0.0540            9.27s
       600           0.0476            7.34s
       700           0.0425            5.38s
       800           0.0382            3.40s
       900           0.0341            1.41s
      Iter       Train Loss   Remaining Time 
         1           0.0932           18.96s
         2           0.0921           18.86s
         3           0.0913           18.74s
         4           0.0907           19.00s
         5           0.0902           18.90s
         6           0.0898           18.80s
         7           0.0894           18.69s
         8           0.0891           18.61s
         9           0.0888           18.55s
        10           0.0885           18.51s
        20           0.0867           18.17s
        30           0.0856           17.93s
        40           0.0848           17.72s
        50           0.0842           17.53s
        60           0.0836           17.32s
        70           0.0832           17.12s
        80           0.0828           16.92s
        90           0.0825           16.72s
       100           0.0823           16.52s
       200           0.0778           14.64s
       300           0.0748           12.75s
       400           0.0661           11.06s
       500           0.0561            9.24s
       600           0.0492            7.32s
       700           0.0426            5.36s
       800           0.0375            3.39s
       900           0.0333            1.40s
      Iter       Train Loss   Remaining Time 
         1           0.0932           18.88s
         2           0.0917           18.69s
         3           0.0907           18.74s
         4           0.0900           18.68s
         5           0.0894           18.65s
         6           0.0888           18.60s
         7           0.0884           18.59s
         8           0.0880           18.59s
         9           0.0876           18.56s
        10           0.0873           18.50s
        20           0.0851           18.17s
        30           0.0836           17.95s
        40           0.0826           17.74s
        50           0.0819           17.53s
        60           0.0814           17.32s
        70           0.0807           17.12s
        80           0.0803           16.94s
        90           0.0800           16.74s
       100           0.0797           16.55s
       200           0.0755           14.63s
       300           0.0730           12.71s
       400           0.0713           10.81s
       500           0.0668            8.96s
       600           0.0562            7.11s
       700           0.0490            5.23s
       800           0.0440            3.31s
       900           0.0397            1.37s
      Iter       Train Loss   Remaining Time 
         1           0.0958           19.04s
         2           0.0946           18.68s
         3           0.0938           18.61s
         4           0.0931           18.51s
         5           0.0925           18.45s
         6           0.0920           18.39s
         7           0.0915           18.35s
         8           0.0912           18.33s
         9           0.0908           18.30s
        10           0.0905           18.29s
        20           0.0884           18.00s
        30           0.0870           17.82s
        40           0.0860           17.63s
        50           0.0853           17.44s
        60           0.0848           17.25s
        70           0.0841           17.05s
        80           0.0837           16.87s
        90           0.0833           16.68s
       100           0.0829           16.50s
       200           0.0791           14.58s
       300           0.0773           12.68s
       400           0.0758           10.80s
       500           0.0682            9.01s
       600           0.0604            7.16s
       700           0.0545            5.27s
       800           0.0474            3.34s
       900           0.0404            1.38s
      Iter       Train Loss   Remaining Time 
         1           0.0970           18.82s
         2           0.0963           18.69s
         3           0.0958           18.66s
         4           0.0953           18.58s
         5           0.0949           18.51s
         6           0.0945           18.48s
         7           0.0943           18.42s
         8           0.0940           18.38s
         9           0.0937           18.38s
        10           0.0935           18.36s
        20           0.0917           18.13s
        30           0.0905           17.92s
        40           0.0897           17.71s
        50           0.0891           17.51s
        60           0.0885           17.30s
        70           0.0881           17.11s
        80           0.0877           16.91s
        90           0.0872           16.72s
       100           0.0868           16.53s
       200           0.0844           14.63s
       300           0.0765           13.08s
       400           0.0661           11.34s
       500           0.0585            9.46s
       600           0.0520            7.46s
       700           0.0467            5.45s
       800           0.0424            3.43s
       900           0.0386            1.41s
Fold Wise AUPRC  [0.10, 0.16, 0.06, 0.02, 0.31]
AUC -   0.7307 		AUPRC -   0.1000 

      Threshold       Precision          Recall        F1-Score     Skill Score         FP         FN         TP         TN
         0.1150          0.2857          0.1212          0.1702          0.1187         10         29          4       3917
         0.0040          0.0146          0.8182          0.0286          0.3532       1826          6         27       2101
         0.2500          0.4286          0.0909          0.1500          0.0899          4         30          3       3923
         0.5000          0.5000          0.0606          0.1081          0.0601          2         31          2       3925
         0.7500          0.5000          0.0303          0.0571          0.0300          1         32          1       3926



Hyper-Parameters: 
 - n_estimators..................: 4470
 - random_state..................: 2017
 - verbose.......................: 1
 - max_features..................: 1.0
 - learning_rate.................: 0.04
 - max_depth.....................: 10
 - min_samples_leaf..............: 9
      Iter       Train Loss   Remaining Time 
         1           0.0759            7.15m
         2           0.0669            7.63m
         3           0.0637            7.72m
         4           0.0588            7.90m
         5           0.0563            7.95m
         6           0.0532            8.05m
         7           0.0502            8.13m
         8           0.0483            8.16m
         9           0.0460            8.18m
        10           0.0439            8.15m
        20           0.0282            8.27m
        30           0.0191            8.43m
        40           0.0132            8.57m
        50           0.0096            8.57m
        60           0.0070            8.62m
        70           0.0050            8.70m
        80           0.0038            8.67m
        90           0.0027            8.69m
       100           0.0020            8.67m
       200           0.0003            7.92m
       300           0.0001            6.60m
       400           0.0001            4.85m
       500           0.0001            3.79m
       600           0.0001            3.09m
       700           0.0001            2.58m
       800           0.0001            2.20m
       900           0.0001            1.91m
      1000           0.0001            1.67m
      2000           0.0001           36.53s
      3000           0.0001           14.80s
      4000           0.0001            3.63s
      Iter       Train Loss   Remaining Time 
         1           0.0780            7.11m
         2           0.0706            7.67m
         3           0.0632            8.15m
         4           0.0588            8.36m
         5           0.0551            8.56m
         6           0.0519            8.64m
         7           0.0495            8.76m
         8           0.0473            8.85m
         9           0.0445            8.89m
        10           0.0418            8.92m
        20           0.0259            8.87m
        30           0.0175            8.78m
        40           0.0128            8.72m
        50           0.0095            8.69m
        60           0.0074            8.57m
        70           0.0060            8.47m
        80           0.0048            8.38m
        90           0.0038            8.33m
       100           0.0030            8.25m
       200           0.0004            7.72m
       300           0.0001            6.70m
       400           0.0001            5.36m
       500           0.0001            4.19m
       600           0.0001            3.41m
       700           0.0001            2.86m
       800           0.0001            2.44m
       900           0.0001            2.11m
      1000           0.0001            1.85m
      2000           0.0001           40.27s
      3000           0.0001           16.28s
      4000           0.0001            3.98s
      Iter       Train Loss   Remaining Time 
         1           0.0748            6.28m
         2           0.0672            7.17m
         3           0.0614            7.71m
         4           0.0577            7.91m
         5           0.0527            8.09m
         6           0.0492            8.21m
         7           0.0464            8.30m
         8           0.0443            8.24m
         9           0.0422            8.26m
        10           0.0401            8.32m
        20           0.0277            8.37m
        30           0.0198            8.49m
        40           0.0149            8.45m
        50           0.0115            8.35m
        60           0.0090            8.32m
        70           0.0070            8.30m
        80           0.0055            8.26m
        90           0.0045            8.19m
       100           0.0037            8.13m
       200           0.0006            7.68m
       300           0.0002            6.85m
       400           0.0001            5.46m
       500           0.0001            4.45m
       600           0.0001            3.62m
       700           0.0001            3.03m
       800           0.0001            2.59m
       900           0.0001            2.24m
      1000           0.0001            1.96m
      2000           0.0001           42.68s
      3000           0.0001           17.24s
      4000           0.0001            4.21s
      Iter       Train Loss   Remaining Time 
         1           0.0798            7.15m
         2           0.0700            7.77m
         3           0.0638            8.24m
         4           0.0601            8.08m
         5           0.0571            8.24m
         6           0.0538            8.29m
         7           0.0516            8.19m
         8           0.0476            8.27m
         9           0.0458            8.21m
        10           0.0443            8.27m
        20           0.0290            8.43m
        30           0.0206            8.50m
        40           0.0151            8.48m
        50           0.0111            8.49m
        60           0.0087            8.41m
        70           0.0068            8.37m
        80           0.0055            8.32m
        90           0.0044            8.24m
       100           0.0036            8.19m
       200           0.0005            7.77m
       300           0.0002            6.57m
       400           0.0001            5.32m
       500           0.0001            4.23m
       600           0.0001            3.45m
       700           0.0001            2.88m
       800           0.0001            2.46m
       900           0.0001            2.13m
      1000           0.0001            1.87m
      2000           0.0001           40.67s
      3000           0.0001           16.44s
      4000           0.0001            4.02s
      Iter       Train Loss   Remaining Time 
         1           0.0812            5.90m
         2           0.0708            7.09m
         3           0.0659            7.51m
         4           0.0599            8.11m
         5           0.0560            8.46m
         6           0.0531            8.47m
         7           0.0500            8.69m
         8           0.0476            8.84m
         9           0.0455            8.96m
        10           0.0435            8.93m
        20           0.0279            8.94m
        30           0.0195            9.04m
        40           0.0145            8.87m
        50           0.0111            8.79m
        60           0.0085            8.75m
        70           0.0064            8.68m
        80           0.0050            8.66m
        90           0.0039            8.60m
       100           0.0031            8.55m
       200           0.0004            7.96m
       300           0.0001            6.81m
       400           0.0001            5.11m
